title,price_gbp,url,height_cm,width_cm,description,media
P10 by Olly Fathers,240.00,https://www.bearspace.co.uk/product-page/p10-by-olly-fathers,30,30,"Acrylic paint on sprayed board,30x30cm,2019,£24 a month on the Own Art Scheme, do ,email us, to apply",Acrylic paint on sprayed board
OFF ROAD by Lucy Baker,340.00,https://www.bearspace.co.uk/product-page/off-road-by-lucy-baker,30,40,"Oil paint, spray paint & gold leaf on board,30 X40 cm, ","Oil paint, spray paint & gold leaf on board"
Amazons by Lucy Baker,1600.00,https://www.bearspace.co.uk/product-page/amazons-by-lucy-baker,110,130,"Oil paint, spray paint & gold leaf on board,110X130 cm, ","Oil paint, spray paint & gold leaf on board"
Overland I by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/overland-i-by-jane-ward,90,120,"90x120,Archival Digital print on stretched canvas, finished with gold leaf","Archival Digital print on stretched canvas, finished with gold leaf"
The Hurricane by Lucy Baker,1600.00,https://www.bearspace.co.uk/product-page/the-hurricane-by-lucy-baker,110,130,"Oil paint, spray paint & gold leaf on board,110X130 cm, ","Oil paint, spray paint & gold leaf on board"
Crossroads by Olly Fathers,4000.00,https://www.bearspace.co.uk/product-page/crossroads-by-olly-fathers,120,120,"Sprayed board,Acrylic paint on sprayed board,120x120 cm ,2018,Original art,£400 a month on Own Art plus, ,email, for details of how to apply",Sprayed board
Candy Flop by Olly Fathers,3400.00,https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,127,53,"Sprayed board,Wall based sculpture,127 x 53 cm,2019,Original art,£340 a month on Own Art plus, ,email, for details of how to apply",Sprayed board
Tommy by Olly Fathers,1940.00,https://www.bearspace.co.uk/product-page/tommy-by-olly-fathers,100,70,"Spraypaint, board, card, digital print collage,100 x 70cm,2019,Original art frame included in price,£194 a month on Own Art, ,email, for details of how to apply","Spraypaint, board, card, digital print collage"
Constructed Veneer VI by Olly Fathers,940.00,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers-1,26,24,"Various wood veneers, various woods, board,26x24cm,2019,£94 a month on the Own Art scheme, ,email, to apply","Various wood veneers, various woods, board"
Constructed Veneer V by Olly Fathers,940.00,https://www.bearspace.co.uk/product-page/constructed-veneer-5-by-olly-fathers,30,33,"Various wood veneers, various woods, board,30x33cm,2019,£94 a month on the Own Art scheme, ,email, to apply","Various wood veneers, various woods, board"
Constructed Veneer IV by Olly Fathers,1100.00,https://www.bearspace.co.uk/product-page/constructed-veneer-4-by-olly-fathers,38,32,"Various wood veneers, various woods, board,38x32cm,2019,£110 a month on the Own Art scheme, ,email, to apply","Various wood veneers, various woods, board"
Collage 1 by Olly Fathers,175.00,https://www.bearspace.co.uk/product-page/collage-1-by-olly-fathers,29.7,21,"Spraypaint, vinyl, card, digital print collage,29.7 x 21cm,2019","Spraypaint, vinyl, card, digital print collage"
Collage 3 by Olly Fathers,175.00,https://www.bearspace.co.uk/product-page/collage-3-by-olly-fathers,29.7,21,"Spraypaint, vinyl, card, digital print collage,29.7 x 21cm,2019","Spraypaint, vinyl, card, digital print collage"
Collage 2 by Olly Fathers,175.00,https://www.bearspace.co.uk/product-page/collage-2-by-olly-fathers,29.7,21,"Spraypaint, vinyl, card, digital print collage,29.7 x 21cm,2019","Spraypaint, vinyl, card, digital print collage"
Constructed Veneer VII by Olly Fathers,940.00,https://www.bearspace.co.uk/product-page/constructed-veneer-vii-by-olly-fathers,34,25,"Various wood veneers, various woods, board,34x25cm,2019,£94 a month on the Own Art scheme, ,email, to apply","Various wood veneers, various woods, board"
C6 by Olly Fathers,240.00,https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,30,30,"Acrylic paint on sprayed board,30x30cm,2019,£24 a month on the Own Art Scheme, do ,email us, to apply",Acrylic paint on sprayed board
P4 by Olly Fathers,240.00,https://www.bearspace.co.uk/product-page/p4-by-olly-fathers,30,30,"Acrylic paint on sprayed board,30x30cm,2019,£24 a month on the Own Art Scheme, do ,email us, to apply",Acrylic paint on sprayed board
C13 by Olly Fathers,240.00,https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,30,30,"Acrylic paint on sprayed board,30x30cm,2019,£24 a month on the Own Art Scheme, do ,email us, to apply",Acrylic paint on sprayed board
Portal 7 by Jane Ward,490.00,https://www.bearspace.co.uk/product-page/portal-7-by-jane-ward,60,,"Digital print under acrylic with subframe,60cm  diam ,Edition of 10 , ",Digital print under acrylic with subframe
P1 by Olly Fathers,240.00,https://www.bearspace.co.uk/product-page/p1-by-olly-fathers,30,30,"Acrylic paint on sprayed board,30x30cm,2019,£24 a month on the Own Art Scheme, do ,email us, to apply",Acrylic paint on sprayed board
Portal 9 by Jane Ward,490.00,https://www.bearspace.co.uk/product-page/portal-9-by-jane-ward,60,,"Digital print under acrylic with subframe,60cm  diam ,Edition of 10 , ",Digital print under acrylic with subframe
As The Tide Turned by Dominic Bradnum,1400.00,https://www.bearspace.co.uk/product-page/as-the-tide-turned-by-dominic-bradnum,100,80,"Oil with charcoal, watercolour and sand on canvas,100cm x 80cm,2019,£140 a month on the Own Art Scheme ,(please select offline payment in checkout), ,Photo credit Steve Speller","Oil with charcoal, watercolour and sand on canvas"
Portal 8 by Jane Ward,490.00,https://www.bearspace.co.uk/product-page/portal-8-by-jane-ward,60,,"Digital print under acrylic with subframe,60cm  diam ,Edition of 10 , ",Digital print under acrylic with subframe
